aoa,cw,ca
-35,0.5903066874,-0.6797418239
-34,0.5665862236,-0.657892086
-33,0.5496282675,-0.667979723
-32,0.5247419515,-0.6588978903
-31,0.5179783548,-0.6428348463
-30,0.4979434761,-0.6395804404
-29,0.4785731135,-0.6263218463
-28,0.4701751228,-0.6146270091
-27,0.4493690367,-0.6054003693
-26,0.4294286129,-0.5899083671
-25,0.4098625093,-0.5762676535
-24,0.399401532,-0.5569876972
-23,0.3802254457,-0.5397882108
-22,0.3581327652,-0.5183128358
-21,0.3492710805,-0.4939080251
-20,0.3314440531,-0.4783216223
-19,0.3108243623,-0.4483579107
-18,0.2990765703,-0.4371727791
-17,0.2894476705,-0.4089381796
-16,0.2784887662,-0.3993896217
-15,0.2783306283,-0.3694967545
-14,0.2614461546,-0.338153713
-13,0.2487301568,-0.3193618233
-12,0.2300612525,-0.2901613921
-11,0.2283026165,-0.2672497252
-10,0.2206013918,-0.2501281126
-9,0.2103463956,-0.2099903623
-8,0.2089271598,-0.1818859051
-7,0.2074963489,-0.161302168
-6,0.1976612477,-0.1399328063
-5,0.1878394456,-0.1153021636
-4,0.1787800367,-0.0894408321
-3,0.1789014918,-0.0502926128
-2,0.1844501617,-0.0380929729
-1,0.1786912203,-0.0206983612
0,0.0860012399,0.0009969697
1,0.089671581,0.0217694353
2,0.0914901821,0.0512197393
3,0.0927770482,0.0716525999
4,0.0965211135,0.0952809254
5,0.0966354353,0.1219301274
6,0.1090103795,0.1541879252
7,0.1100842269,0.1733822879
8,0.1116802629,0.1947110991
9,0.1214684887,0.223438881
10,0.12603073,0.2470579447
11,0.1301554794,0.2742915374
12,0.1442732703,0.2948869225
13,0.1486887604,0.3214608342
14,0.1690572355,0.3440307119
15,0.1814338707,0.3767031884
16,0.1926352904,0.3969430987
17,0.2398818433,0.4350057683
18,0.2221925797,0.4734333888
19,0.2319530317,0.4967357096
20,0.2519563816,0.5343435402
21,0.2707526685,0.5655468192
22,0.2906727031,0.5841090517
23,0.310500406,0.6239085023
24,0.3304366416,0.6436728737
25,0.350540039,0.6536234425
26,0.3815332307,0.6791592002
27,0.3876439556,0.7005818908
28,0.419257337,0.7313268941
29,0.4485809095,0.7386398432
30,0.4530565073,0.7544541895
31,0.4681223464,0.7618165035
32,0.4910879957,0.7629503155
33,0.518003218,0.769722478
34,0.5188743497,0.7405912386
35,0.5193099222,0.721678207
36,0.5493138696,0.712547747
37,0.5574247694,0.7013882287
38,0.587892679,0.7111451396
39,0.6080111266,0.7026206164
40,0.6225097402,0.6997521287
41,0.6394808837,0.7101612992
42,0.6600040316,0.7020379875
43,0.6776942775,0.6911061954
44,0.699870704,0.693042477
45,0.738082456,0.6735847662
46,0.7594478402,0.6743160178
47,0.770931724,0.6734710315
48,0.791046888,0.6641412943
49,0.7984492913,0.6508294459
50,0.8205912404,0.6443109802
51,0.8273906978,0.631403832
52,0.8487610073,0.6333429046
53,0.8482348148,0.6031487743
54,0.8756411512,0.6026512721
55,0.8773326014,0.5726507699
56,0.8891768572,0.5613366058
57,0.8873031687,0.5466477297
58,0.9063179256,0.5145741852
59,0.920637174,0.5171415899
60,0.9248167512,0.5042435126
61,0.9277132724,0.4732323064
62,0.9456132564,0.4643128516
63,0.9576212804,0.4437380285
64,0.9773317442,0.4340070798
65,0.9635029793,0.4034563946
66,0.9790166272,0.4023961496
67,0.9900202885,0.3826300293
68,0.9879499962,0.369149672
69,0.9975511616,0.3514014711
70,1.0059333009,0.3312418147
71,1.0167452836,0.3138920342
72,1.0195125142,0.3005962342
73,1.016408307,0.2806776536
74,1.0239851501,0.2607220917
75,1.0366002245,0.2407490858
76,1.0282808836,0.226887752
77,1.0280169665,0.2115893834
78,1.0359525399,0.1807620367
79,1.0370919395,0.1636470522
80,1.0382502196,0.1511620483
81,1.0450250502,0.1322157949
82,1.0469533281,0.1108706458
83,1.053733084,0.0931322135
84,1.0565019564,0.0802390205
85,1.0467628809,0.0641682325
86,1.1238550022,0.0409523911
87,1.0663534942,0.025046972
88,1.0743440675,0.0077069602
89,1.0938365841,-0.0060493608
90,1.1051595728,-0.0463498342
91,1.0901363771,-0.0618511702
92,1.0843997693,-0.083729117
93,1.1151669856,-0.1069180574
94,1.117610223,-0.1258252778
95,1.1182757435,-0.1469142931
96,1.1154045372,-0.1610372272
97,1.1255480406,-0.1880491295
98,1.1127533928,-0.1980584146
99,1.116947995,-0.2172005639
100,1.1063384338,-0.2177259227
101,1.1148565306,-0.2491245756
102,1.1071351725,-0.2677677378
103,1.1082676879,-0.2965995018
104,1.0957276743,-0.3052968985
105,1.099065659,-0.3304341773
106,1.0947555064,-0.3445722695
107,1.0852393565,-0.3686855007
108,1.084607262,-0.3906415414
109,1.0650053671,-0.4041444558
110,1.0655832235,-0.4211099347
111,1.0451643229,-0.4358385681
112,1.043510836,-0.4480102953
113,1.0466655184,-0.4767446981
114,1.018045621,-0.488843199
115,1.0054742307,-0.4904017282
116,1.0086323849,-0.5182847651
117,0.9959023159,-0.5281899114
118,0.9802213091,-0.5510935305
119,0.9662677829,-0.5594125254
120,0.9348763116,-0.5769337713
121,0.944181135,-0.5898098947
122,0.9347073669,-0.5976866699
123,0.9061125745,-0.6094721703
124,0.907493766,-0.6285642983
125,0.89371322,-0.6299739984
126,0.8752596763,-0.6378599629
127,0.8449137654,-0.6394613135
128,0.8267629903,-0.6450193955
129,0.8267151172,-0.6567590918
130,0.8172929441,-0.6677156539
131,0.7890113917,-0.6687620594
132,0.7760099008,-0.6683636764
133,0.7561433521,-0.6757467383
134,0.7462968983,-0.6882636066
135,0.7275612261,-0.6785827433
136,0.7144524574,-0.6788705841
137,0.6939342118,-0.6873957149
138,0.6799292958,-0.6777513712
139,0.6759783456,-0.6892947669
140,0.6472815933,-0.6859912987
141,0.6344439071,-0.6876760532
142,0.6255750025,-0.6790883359
143,0.5986293163,-0.6662167421
