Common name,Species,Reference,Label,epsilon,Mass (g),Wing loading (N/m^2),Chord length (cm),Area (cm^2),Aspect ratio,Wing span (cm),SVL snake (cm),Notes
northern flying squirrel,Glaucomys sabrinus ,Bahaman (2013),Mammalian spp.,0.0165789,92.7,59,16.9,154,,,,
southern flying squirrel,Glaucomys volans,Bishop (2006),Mammalian spp.,0.0189940489099908,78.1,41.88,13.7436854187255,204,1.08,14.8431802522236,,"b from S and AR, c from b and S"
southern flying squirrel,Glaucomys volans,Bishop (2006),Mammalian spp.,0.0160977388080259,84.0,47.77,13.286148393362,203,1.15,15.2790706523663,,
sugar glider,Petaurus breviceps,Bishop (2007),Mammalian spp.,0.0257876732673267,73.4,30.3,13.5,,,,,
colugo,Galeopterus variegatura,"Byrnes (2008), Stafford (2002)",Mammalian spp.,0.02990415,750,60,31,,1.65,,,"AR, Ws from Stafford (2002)"
colugo,Galeopterus variegatura,"Byrnes (2008), Stafford (2002)",Mammalian spp.,0.038586,1400,60,40,,1.65,,,"AR, Ws from Stafford (2002)"
Draco,Draco blanfordi,McGuire (2005),Draco spp.,0.0264051886726499,11.3,14.1,6.43261217858574,78.6191489361702,1.9,12.2219631393129,,"AR = b/c = 10^.28 from McGuire (2003); area from Ws, b from A and S, c from S and b"
Draco,Draco fimbriatus,McGuire (2005),Draco spp.,0.0157869317741628,18.7,23.5,6.40980142526351,78.0625531914894,1.9,12.1786227080007,,
Draco,Draco formosus,McGuire (2005),Draco spp.,0.0233019029603409,8.8,14.1,5.67661555556949,61.2255319148936,1.9,10.785569555582,,
Draco,Draco haematopogon,McGuire (2005),Draco spp.,0.0227396419585576,5.7,12.4,4.87174208756395,45.0943548387097,1.9,9.2563099663715,,
Draco,Draco maculatus,McGuire (2005),Draco spp.,0.0179524676351648,4.0,12.9,4.00122380299636,30.4186046511628,1.9,7.60232522569308,,
Draco,Draco maximus,McGuire (2005),Draco spp.,0.0256661688734472,15.6,16.0,7.09512434518834,95.6475,1.9,13.4807362558578,,
Draco,Draco melanopogon,McGuire (2005),Draco spp.,0.0290528525210248,3.8,9.2,4.61801764359143,40.5195652173913,1.9,8.77423352282372,,
Draco,Draco obscurus,McGuire (2005),Draco spp.,0.0201674012821325,9.1,15.7,5.47051953436447,56.8605095541401,1.9,10.3939871152925,,
